Original_Gene_ID,Importance
TraesCS3A02G122100,0.46095103
TraesCS2A02G284200,0.18197955
TraesCS7A02G292900,0.08915821
TraesCS5B02G296200,0.07829659
TraesCS7B02G245300,0.07554014
TraesCS2A02G492900,0.046679493
TraesCS5D02G175000,0.038661662
TraesCS3B02G557500,0.02209783
TraesCS1D02G257500,0.0049288482
TraesCS1B02G294400,0.0017066842
TraesCS1B02G173900,0.0
TraesCS7A02G308700,0.0
TraesCS4D02G026400,0.0
TraesCS3A02G157800,0.0
TraesCS3B02G265000,0.0
TraesCS3B02G138100,0.0
TraesCS4B02G215900,0.0
TraesCS6B02G207100,0.0
TraesCS1A02G333000,0.0
TraesCS4A02G013000,0.0
TraesCS1A02G122700,0.0
TraesCS3A02G213600,0.0
TraesCS2B02G407000,0.0
TraesCS4A02G150600,0.0
TraesCS3D02G004500,0.0
TraesCS3A02G358500,0.0
TraesCS2D02G274000,0.0
TraesCS2D02G173200,0.0
TraesCS1B02G319100,0.0
TraesCS1B02G253100,0.0
